date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,7150,7160,6870,7100,491733,-4858,,,,,
20201229,6720,7350,6610,7100,656116,3910,,,,,
20201228,12250,12700,12050,12400,501223,833,,,,,
20201224,11750,12450,11750,12000,296051,-5538,,,,,
20201223,12200,13000,11350,11950,1087271,-11998,2462.600251766413,,,,
20201222,11850,11950,11050,11350,365700,-1947,1958.9282784216477,,,,
20201221,12400,12500,11600,11800,307904,-2263,339.1164991562645,,,,
20201218,12950,12950,12150,12350,268855,-300,324.6536616149597,,,,
20201217,12300,13050,12250,12900,398658,-12053,524.0229002629568,,,,
20201216,11650,12250,11400,12100,353043,3006,520.5766033928155,2039.0500239081925,,,
20201215,11850,11900,11400,11500,177683,-1307,479.1659420284384,1541.3387038545425,,,
20201214,11650,11850,11150,11650,319313,-31053,502.99105359837245,440.4543109109057,,,
20201211,11350,11800,11050,11700,432863,-3389,505.56898639058227,426.73176586703823,,,
20201210,11250,11500,10300,11250,1576828,-49940,278.20855486487244,471.40746706008036,,,
20201209,9980,10950,9960,10750,796221,-9173,347.27510708370784,573.6070083253871,,,
20201208,9190,9910,9140,9840,585912,-36120,689.3301095991678,806.5382817944853,,,
20201207,9260,9350,9050,9110,91381,387,941.084480798616,1088.8273508688146,,,
20201204,9160,9400,9090,9260,177664,-2307,834.4435271484828,1185.4298798326288,,,
20201203,9060,9180,8890,9140,158312,-42607,623.7627754202721,1119.5266857024894,,,
20201202,9010,9200,8960,9060,182632,9426,286.663565874704,1091.4778971651237,1681.1409072412696,,
20201201,8920,9160,8900,9010,91967,3488,84.52218643646617,1079.2038732324866,1519.5259129083647,,
20201130,9020,9080,8700,8920,146898,10033,115.65465835841091,988.2226469778967,1338.24362505487,,
20201127,9220,9220,8720,9030,336839,1289,71.38627319030421,778.2807976559621,1351.119073213016,,
20201126,9180,9280,9000,9250,77117,795,108.55413396089872,529.6423321450059,1355.1582933369812,,
20201125,9250,9350,9090,9180,202412,10451,119.89995829857801,242.23955085823772,1351.2434088645905,,
20201124,8840,9250,8760,9250,173344,-2492,130.6292463424663,110.13173929435939,1359.378074709166,,
20201123,9000,9030,8820,8840,72628,-1639,157.09869509324622,138.8668426947223,1354.8522982229458,,
20201120,8800,9140,8700,9000,253215,-2132,160.5739704933547,129.36769303037272,1284.5041845007736,,
20201119,8550,8800,8540,8700,98653,-13157,205.09509989271012,166.8052756959466,1133.7508544649468,,
20201118,8670,8670,8500,8550,106094,-13044,242.27257376764862,218.0848458742623,1037.831754187545,,
20201117,8810,8880,8620,8750,92918,-24060,149.31845163944323,227.42251427684275,963.0295945608297,,
20201116,8370,8830,8370,8760,202747,-51890,144.96896219536356,234.28401567328646,840.397971201737,,
