date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,10790,10790,10625,10730,213748,24776,,,,,
20201229,10860,10885,10720,10750,164939,63418,,,,,
20201228,10835,10845,10760,10790,195931,55020,,,,,
20201224,10650,10755,10650,10755,79719,15915,,,,,
20201223,10680,10680,10510,10615,69414,9705,59.715994507334464,,,,
20201222,10750,10765,10620,10630,199615,14812,71.31619731870173,,,,
20201221,10720,10760,10655,10740,269857,6969,70.24243731534378,,,,
20201218,10725,10740,10670,10690,52691,12079,56.3382640840131,,,,
20201217,10790,10790,10625,10715,87295,-25591,48.228622207149975,,,,
20201216,10745,10800,10715,10780,76825,6730,50.23942674832188,55.832338299591434,,,
20201215,10730,10730,10600,10700,73933,182,32.2490309931942,55.99330317100444,,,
20201214,10810,10845,10705,10745,106424,7539,32.77193921634788,55.713553108736605,,,
20201211,10635,10855,10635,10855,331526,15213,55.263007518592396,66.68020695828736,,,
20201210,10460,10590,10400,10590,152704,66443,88.05679985100527,76.31513611335555,,,
20201209,10365,10485,10365,10450,396403,70003,138.2244551445221,106.19439721567205,,,
20201208,10470,10475,10340,10360,70078,-7534,182.3458252881047,145.09048900599882,,,
20201207,10585,10610,10370,10470,370182,-6738,171.46428199482247,153.05962890324733,,,
20201204,10435,10600,10435,10570,147245,37161,84.0,153.02042347346887,,,
20201203,10415,10430,10350,10395,106932,13025,72.0,163.63144563316567,,,
20201202,10315,10400,10310,10390,117236,14778,75.73638491504595,160.5031152345634,146.32668929487824,,
20201201,10175,10315,10175,10295,83245,-5011,91.72785836374901,169.0443728729218,162.20569502948956,,
20201130,10400,10410,10155,10155,175655,14369,135.99264686004167,180.03055296254368,187.21578459093584,,
20201127,10450,10495,10395,10415,103587,-13837,96.85040010242601,120.24558203942095,184.4537543667779,,
20201126,10460,10470,10380,10460,69671,-3707,108.3789647487002,106.17909398746572,180.48268615022215,,
20201125,10495,10595,10345,10460,506337,-15929,117.66902736064405,106.72862783714162,180.89551542257638,,
20201124,10430,10470,10405,10455,149573,12154,118.21167455035902,107.23921857230735,180.72008742804312,,
20201123,10250,10440,10195,10380,300627,18295,31.843366656181317,105.2912626954349,177.25052891317276,,
20201120,10225,10265,10200,10265,47216,815,75.85512507405153,94.53041838476646,180.62028540559731,,
20201119,10210,10210,10115,10210,174527,-9563,100.7670581092849,104.78668808583913,183.41210428976424,,
20201118,10240,10260,10155,10235,50753,-6204,93.34880824091971,108.88526071052452,175.65217761246024,,
20201117,10230,10295,10160,10240,120781,-1149,59.61543424315552,112.01004419246908,170.5027492446946,,
20201116,10030,10255,10030,10230,129098,4234,17.72004514666935,102.29858259037071,157.85753070411033,,
20201113,10060,10090,9960,10030,530812,5374,80.14985963805552,132.83542449210898,138.62246390826783,,
20201112,10235,10235,10075,10120,127883,6494,83.45058418010026,130.120136796726,136.22843866094533,,
20201111,9965,10250,9965,10240,224345,99974,84.23775875461075,112.23747146117746,134.60010215448915,,
20201110,9805,9990,9800,9985,213262,49238,102.78132126023678,110.97409607651008,152.47950681976533,,
20201109,9675,9760,9650,9725,122026,33258,171.31841699011815,162.77591959500123,192.22041384826628,,
20201106,9605,9650,9575,9615,44457,2817,235.04467660425752,216.1272773159328,225.6712210274022,,
20201105,9520,9615,9485,9615,57351,2024,243.0720057925223,247.14418868344436,256.4887911780913,,
20201104,9620,9670,9415,9455,64264,13358,175.56765077883796,282.35128829172663,295.47112803114686,,
20201103,9495,9595,9495,9580,52294,17610,86.57944328765345,278.23056985169245,315.8088820790167,,
20201102,9240,9490,9240,9465,44750,2266,71.442284397967,270.9169614475943,343.6662625280494,,
20201030,9425,9430,9190,9245,75962,-12124,129.59938271457932,300.1287223842415,376.13461685944037,,
20201029,9430,9445,9315,9420,52138,-7628,108.28665661105249,275.6941239852545,380.87432310408883,,
20201028,9410,9540,9395,9535,63826,-26290,115.99137898999219,188.05318396665524,372.0130206054591,,
20201027,9470,9535,9410,9475,101647,-12709,98.56977224281286,125.82130185305081,360.3376021177884,,
20201026,9780,9805,9575,9600,134042,-40835,120.95453691366852,109.25772283914986,343.0097484037407,,
20201023,9620,9765,9605,9765,554655,-89440,119.22248110151038,131.8986353227225,327.0981313000693,,
20201022,9430,9605,9405,9590,135239,44882,96.88137075826292,130.21520648525092,314.9058391011467,,
20201021,9345,9485,9320,9470,104206,12878,107.56393447619885,129.6234932409883,300.81971344976245,,
20201020,9330,9355,9210,9345,410900,17029,140.47775624631822,136.72600337900786,286.3584947229557,,
20201019,9200,9365,9200,9340,293632,26333,160.51791177311023,144.04947066892134,265.05317862647286,,
20201016,9180,9215,9110,9160,31422,-1981,143.81933110677437,159.27962832702872,267.34095739335714,,
20201015,9140,9190,9080,9175,32233,911,116.3872845288522,182.26971772622116,252.08133608023553,,
20201014,9210,9230,9125,9150,27315,-12845,88.9606654651369,199.17580174307378,208.99700954797535,,
20201013,9300,9300,9175,9230,48212,1562,70.17121917139534,204.30675466072128,181.77922736109423,,
20201012,9265,9270,9205,9270,50663,3473,45.78209256903839,192.83995955194573,173.96120257113748,,
20201008,9185,9230,9130,9210,65641,12615,41.90465367951393,137.07297326605234,174.23744574573018,,
20201007,9015,9140,8995,9135,48988,21291,50.23942674832188,102.397509735324,176.6654677632168,,
