date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20140825,238000,238000,238000,238000,36,0,,,,,
20140826,290000,300000,280000,297500,2137,0,,,,,
20140827,300000,301000,292000,294500,3030,0,,,,,
20140828,294000,294000,286500,290000,1657,0,,,,,
20140829,291000,291000,276000,280000,2107,0,21819.715855161816,,,,
20140901,284000,284000,270000,274000,2574,0,8869.047299456684,,,,
20140902,274000,280000,274000,275000,1689,0,8182.909018191508,,,,
20140903,276000,281000,275000,280000,4963,0,5670.978751503121,,,,
20140904,283000,286500,282000,285500,4840,0,4127.953488110047,,,,
20140905,286000,290000,286000,290000,5280,0,6118.823416311334,16030.361817501187,,,
20140911,295000,300000,295000,298000,5198,0,7959.899496852953,8460.053191322142,,,
20140912,298500,299000,295500,297500,1352,0,6932.532004974799,8460.053191322142,,,
20140915,298000,298000,296000,296500,1860,0,4929.503017546485,8669.054158326613,,,
20140916,296500,298000,295500,296500,3249,0,2908.607914449781,9127.431182978044,,,
20140917,298000,302500,297500,301500,5578,0,1843.9088914585516,9670.703180224278,,,
20140918,301000,339000,300500,332500,5242,0,13922.643427165687,14857.994481086602,,,
20140919,339500,360000,334000,339500,6005,0,18755.265927200282,18256.848030259767,,,
20140922,352000,352000,328000,330000,4158,0,17498.57137025763,18461.107767412006,,,
20140923,331000,335000,327000,332000,3071,0,13196.21157757028,18379.064176393746,,,
20140924,334000,347500,333500,347500,7594,0,6454.455825241963,19729.483014007234,25687.253648453767,,
20140925,345000,350000,343500,345500,4850,0,6995.712972957074,20258.084805825056,23561.767229985144,,
20140926,348000,348000,338000,339500,3394,0,6995.712972957074,19083.762731704664,24716.631546390014,,
20140929,331000,334500,320000,323000,3763,0,9038.805230781329,16447.264210196172,24818.037795119948,,
20140930,327500,327500,303000,310500,10227,0,14246.403054806498,14066.005118725072,24486.97357780259,,
20141001,305000,308500,300000,306500,4828,0,15407.790237409125,13093.987169689755,23597.616405052486,,
20141002,306000,311000,306000,307500,9791,0,12523.577763562613,14780.13870029642,22122.09020413764,,
20141006,318500,318500,308000,310000,3457,0,5941.380311005171,15159.485479395398,20470.390201459344,,
20141007,311000,311000,308000,309000,3201,0,1503.329637837259,15790.503475190395,19023.850162362054,,
20141008,309000,310500,306000,308500,5201,0,1208.3045973594178,16037.845865327423,17870.558888854117,,
20141010,305000,310000,290000,302500,5118,0,2626.7851073127213,14096.542129188985,17151.822060644256,,
20141013,307000,307000,299000,300000,2870,0,3987.480407475365,10902.293336725073,17048.02041293953,,
20141014,301000,301000,295000,299000,2692,0,4202.380277890127,6426.702109169209,16966.05066006827,,
20141015,299500,300500,295000,300000,4123,0,3449.637662132054,4278.14212012644,16771.925947845197,,
20141016,299000,301000,295000,298000,2610,0,1496.6629547095447,4414.748010928817,16682.981598023867,,
20141017,305000,305000,298000,299500,8453,0,748.3314773547246,4532.107677449859,16782.040251411716,,
20141020,310000,310000,299500,300000,7544,0,748.3314773547246,4410.498838000068,16778.408744574164,,
20141021,310000,310000,300500,310000,5721,0,4312.771730569553,4410.498838000068,15866.848300781183,,
20141022,310000,333000,310000,330000,8355,0,12024.974012445928,9263.50365682445,15866.848300781183,,
20141023,335000,338500,330000,336000,6249,0,15206.577524216285,13209.844813622904,16116.6645122371,,
20141024,340000,354000,335000,353500,11845,0,18995.78900704048,18910.050237902593,16777.42158378345,,
20141027,353000,367500,353000,360500,9234,0,17880.156598866797,23120.391432672586,18406.028224470447,,
20141028,363500,364000,350500,356000,7015,0,11960.769206033528,24555.091121802012,19795.20143873264,,
20141029,360000,360000,340000,350000,10397,0,8334.266614405848,24175.452425962994,21103.96882105361,,
20141030,352000,352000,333000,342500,7603,0,6058.052492344375,21992.271369733506,21727.804767164194,,
20141031,347000,349500,339000,341000,7898,0,7529.940238806674,18814.1569037786,22038.191282407985,,
20141103,350000,351000,340000,340000,8605,0,6151.422599691871,13941.753835152878,22204.39145754739,,
20141104,346000,350000,345000,347500,4825,0,3880.7215823864385,9017.205775626948,22665.10258084008,,
20141105,350000,380000,349500,371000,5026,0,11590.513362228608,10191.172650877817,24540.005603096426,,
20141106,378500,379000,365000,366000,2200,0,12932.130528261765,10102.474944289641,25520.628910745996,,
20141107,365000,365000,351500,353000,2212,0,11497.825881443845,10100.123761617973,25155.652943225396,,
20141110,350000,362500,340000,358000,3064,0,8511.16913238128,9934.787365615834,24557.725362907793,,
20141111,365000,369000,355000,363000,3002,0,6241.794613730886,10392.785959500947,23739.458186740594,,
20141112,368000,371000,355000,366000,6587,0,5035.871324805659,10991.36024339117,22683.846124500258,,
20141113,369000,390000,369000,389500,8805,0,12603.174203350516,14282.8568570857,22559.97562055433,,
20141114,380000,382500,325000,327500,3822084,1483996,19861.017093794566,16442.399459932847,20351.228464149426,,
20141117,317500,342500,312000,338500,1568450,294859,21843.534512527956,16613.24772583615,17308.578075624988,,
20141118,342000,375000,340000,366000,1423443,111798,22043.139522309426,16369.254717304633,14989.558866090965,,
20141119,367000,373500,352500,371000,864739,113388,22514.439810930227,16369.254717304633,14531.237903220996,,
20141120,369500,400000,367500,398000,1706709,57291,24977.18959370729,19986.808149376928,16644.274541114937,,
20141121,398500,413000,393000,400000,967753,-4909,22727.95635335478,22445.767975277657,18951.58304733425,33369.33368462061,
20141124,405000,408500,384000,404000,942445,-216591,15954.936540143302,24587.649338641546,21216.31153146105,32962.66722453685,
