date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20101201,355,375,355,368,66970,0,,,,,
20101202,365,388,365,373,22340,0,,,,,
20101203,367,385,367,380,38645,0,,,,,
20101206,373,385,367,379,58507,0,,,,,
20101207,373,379,370,374,12090,0,4.354308211415445,,,,
20101208,376,376,361,361,29075,-5,6.7705243519243,,,,
20101209,368,368,350,351,116110,0,11.260550608207414,,,,
20101210,355,358,346,354,105133,0,10.97998178504868,,,,
20101213,356,359,347,353,64108,0,8.404760555780383,,,,
20101214,348,358,348,358,74912,0,3.6110940170538846,10.492378186092992,,,
20101215,357,359,353,358,26480,0,2.7856776554372678,10.643777524920374,,,
20101216,358,358,350,357,82677,0,2.09761769634084,10.38508545944616,,,
20101217,353,359,351,358,128657,0,1.939071942967094,8.626123115281862,,,
20101220,362,363,350,351,79325,0,2.7276363393975847,6.3442887702247655,,,
20101221,352,357,351,355,48046,-6,2.6381811916550317,3.1685959035509823,,,
20101222,356,368,354,360,48980,0,3.0594117081560452,3.0083217912982754,,,
20101223,360,369,357,358,49880,0,3.136877428271987,2.6758176320519427,,,
20101224,362,365,356,356,22910,0,3.0331501776210006,2.5768197453450377,,,
20101227,358,362,351,354,51250,0,2.154065922854325,2.459674775249782,,,
20101228,358,360,350,355,49880,0,2.154065922854325,2.441311123146754,8.821989571519573,,
20101229,352,362,352,362,13981,0,2.8284271247465758,2.973213749463712,8.667612127916206,,
20101230,369,369,352,362,11980,0,3.487119154832841,3.389690251335675,8.182909018191516,,
20110103,368,368,349,354,62590,0,3.7735924528229305,3.4942810419312402,6.82275604136627,,
20110104,351,353,328,347,276170,0,5.621387729022294,4.2673176586703825,5.439669107583639,,
20110105,345,349,340,347,27303,0,6.71118469422521,5.103920062069945,4.248234927590462,,
20110106,343,350,342,349,57529,0,5.7061370470751225,5.200000000000006,4.283398183685406,,
20110107,348,352,335,342,163860,0,3.867815921163251,6.209669878504015,5.074445782546042,,
20110110,344,344,336,343,40275,0,2.6532998322851347,6.7416615162732665,5.6610511391436145,,
20110111,343,345,338,345,65560,0,2.561249694973998,6.945502141674126,5.987278179607083,,
20110112,343,349,337,344,49910,0,2.4166091947198467,7.03206939669965,6.239190652640691,,
20110113,342,350,340,348,92800,0,2.059126028198503,5.664803615307387,6.207052440571038,,
20110114,350,365,343,351,166175,0,2.9257477676662793,3.5213633723317375,6.119436248544373,,
20110117,354,357,348,350,50001,0,2.7276363393978973,2.870540018881379,5.977248530887666,,
20110118,354,355,348,350,29230,0,2.4979991993601156,3.047950130825558,5.986651818838202,,
20110119,347,357,347,351,64750,0,1.0954451150119409,3.2878564445546488,5.936328831862224,,
20110120,350,358,346,358,71700,0,3.033150177621171,4.599999999999959,5.806031346797802,,
20110121,352,358,345,346,80311,0,3.898717737924026,4.199999999999963,5.701754116059249,,
20110124,346,358,345,354,130750,0,4.019950248448774,4.026164427839466,5.624944444169965,,
20110125,354,369,351,364,67971,0,6.118823416311575,5.55337735076595,6.30793151516396,,
20110126,369,385,357,357,104160,0,5.8787753826798514,5.127377497317754,6.384355879804847,,
20110127,355,360,346,355,69830,0,5.775811631277698,4.882622246293543,5.960494945891543,,
20110128,348,360,345,353,36200,0,3.929376540878033,4.812483766206452,5.416641025580199,,
20110131,344,353,342,353,30180,0,4.079215610874549,4.657252408878081,5.387717513010355,,
20110201,346,360,345,355,102310,0,1.4966629547105053,4.454211490264106,5.421023888528679,,
20110207,350,360,350,358,29160,0,1.8330302779830945,4.382921400162329,5.568662316930234,,
20110208,359,363,357,360,23495,0,2.785677655437323,4.54422710700081,5.850427334819142,,
20110209,355,378,355,378,135850,0,8.930845424706598,7.211795892841224,7.767077957636288,,
20110210,378,434,376,434,2720474,0,29.610808837314842,23.51191187462227,18.888091486436654,,
20110211,453,470,405,405,1602430,0,28.927495570823318,26.114363863590565,21.179235113667385,,
20110214,411,411,374,383,598610,0,25.432262974418983,25.904439773907583,21.3008802635009,,
20110215,390,390,365,374,331620,0,22.337412562783605,25.171610993339414,21.129304295220003,,
20110216,370,430,369,430,698460,0,24.127992042439065,28.70191631233021,25.231726060656328,,
20110217,460,494,450,494,3119215,0,43.00418584277585,42.03676961898963,36.83259426106184,,
20110218,525,568,421,422,5879647,0,42.57511009968151,40.08690559272455,37.66377570026678,,
20110221,428,474,385,404,2617531,0,39.58989770130763,37.0950131419307,37.450333776883845,,
20110222,416,419,386,410,1234192,0,32.2986067810982,33.4221483450722,37.50929884708601,,
20110223,410,418,393,410,696812,0,33.51417610504549,31.347089179061157,36.81613097542989,,
20110224,396,429,393,399,864695,0,7.694153624668443,31.162316987027978,36.05814748430664,,
20110225,403,407,375,380,593054,0,11.092339699089537,32.67782122480035,35.64982468400103,,
20110228,374,380,357,359,636180,0,19.642810389554672,35.385872887354516,35.557840204377,27.3157006133835,
20110302,356,369,345,353,351220,0,22.049036260117944,37.887860852785174,35.661043170384254,27.37900655611886,
20110303,348,356,341,344,321580,0,19.909796583591604,41.110217708010374,36.186841531142356,27.529675907201582,
20110304,343,354,341,353,351838,0,12.089665007765763,27.53252621900154,36.186841531142356,27.531174249485893,
20110307,364,390,356,380,507492,0,12.089665007765763,24.342555330121076,35.370185184700546,27.53911864158973,
20110308,389,389,371,376,156828,0,14.16192077368024,22.896287908742003,34.72952634286868,27.549526110060196,
20110309,376,380,365,371,194448,0,13.905394636614812,19.9762358816671,34.296464832399415,27.54650108856335,
20110310,377,377,358,372,211230,0,9.264987857520156,15.620819440733687,34.45181417574421,27.479608601450064,
20110311,372,378,362,364,113390,0,5.351635264103463,11.923086848631211,33.61885631606181,27.430943597817887,
20110314,360,379,350,357,228169,0,6.723094525588327,11.031319050775474,34.111398388222206,27.401439540449115,
