date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,50600,53300,49050,51200,327865,23511,,,,,
20201229,47950,50300,47900,49900,196902,21665,,,,,
20201228,46250,52400,46250,47200,580415,197,,,,,
20201224,45400,46850,44300,45800,121679,12,,,,,
20201223,51200,52000,45150,45250,462591,-6074,2315.5129021450093,,,,
20201222,44100,53500,44100,49100,869087,945,1808.3141320025131,,,,
20201221,41400,44500,40500,43500,194290,6074,1884.5689162246103,,,,
20201218,40500,40500,39850,40000,26131,-13,2979.8657687889236,,,,
20201217,41000,41000,39900,40050,16827,-2,3421.7831608680294,,,,
20201216,39500,41250,39400,40400,31506,-117,3497.484810546002,3964.076184938933,,,
20201215,39700,40200,39600,39600,27036,-2,1417.8857499812893,3741.2698379026347,,,
20201214,40000,40650,40000,40100,18648,1,256.1249694973198,3351.6413889316987,,,
20201211,40450,40450,40000,40150,25097,-67,259.6150997149491,3150.511863173984,,,
20201210,40750,41400,40250,40450,16992,-5,302.3243291566244,2976.3064358362035,,,
20201209,40900,41350,40450,40750,21427,-1,383.9270764090532,2762.2273621119616,,,
20201208,41900,42000,40950,41300,22625,3,441.5880433163957,1053.13816757347,,,
20201207,40850,42750,40000,41500,36486,-104,506.55700567656055,566.6568626602927,,,
20201204,41000,41700,40800,41000,28819,-12,375.4996671103757,570.1754116059425,,,
20201203,41250,41950,41000,41800,23722,-12,368.2390527904434,657.8183639881194,,,
20201202,41750,41850,41250,41500,12338,3,263.81811916546405,688.8577501923063,3604.076684811242,,
20201201,41700,42050,41200,41400,15328,-5,257.6819745345083,573.3454456084969,3089.048194832834,,
20201130,41650,42200,41050,41700,27524,-2015,278.56776554368776,522.2307918918665,2588.2172918825777,,
20201127,42600,42600,41450,42100,13844,-14,244.9489742783239,472.2287581247101,2312.437837002323,,
20201126,42700,43850,41500,42350,59187,-17,361.1094017053599,453.76205218154365,2134.8887558840106,,
20201125,41500,42500,41000,41500,23314,1,361.1094017053599,371.5171597652065,1973.4408402584497,,
20201124,42200,43000,41800,41800,22428,27,300.66592756746314,359.2005011132445,941.7370917617995,,
20201123,43650,45200,42100,42500,29036,0,363.31804249170307,431.30615576409986,836.1332130707233,,
20201120,41300,44000,40800,43700,52683,0,757.3638491504615,655.0000000000045,971.2459781126373,,
20201119,40750,41600,40750,41300,9531,-4,870.8616422830914,689.2205742721309,929.2335551409959,,
20201118,40800,42500,40800,41300,39177,-6,904.2123644365869,705.70886348409,903.8252043398518,,
20201117,40150,40600,40100,40550,13578,8,1107.9711187571647,811.8497397917954,830.4930764310894,,
20201116,41000,41000,39900,40150,35101,-2,1232.4771803161318,964.9481851374228,826.5288863675459,,
20201113,41000,41450,40200,40600,22963,0,452.3273151159489,1010.5072983407917,796.6923810354757,,
20201112,42300,42300,41000,41000,25078,-100,395.7271787481913,987.876510501189,770.3246069028147,,
20201111,43900,43900,41500,42250,20515,10,722.0803279414299,1017.6074881799985,767.6424949154241,,
20201110,42050,44350,42050,43150,43326,3,1108.422302193529,1129.8229949863855,838.3428594554723,,
20201109,41850,42650,41850,42250,10598,-1,926.8225288586823,1113.3844798630912,847.1865201949205,,
20201106,42300,42500,41500,41700,14640,6,708.9428749906461,877.2827366362602,832.0757177084179,,
20201105,42000,42400,41500,42400,17387,-1,465.83258795408784,922.5101625456524,844.7780773670556,,
20201104,41350,42200,40950,41500,15731,6,580.5170109480023,919.3611912627191,844.7780773670556,,
20201103,40850,41400,40750,40950,14544,96,524.7856705360799,882.7372202416786,859.9236884747266,,
20201102,40100,40850,39850,40150,16934,-2,754.5859791965413,882.7372202416786,927.0382947861312,,
20201030,41000,41650,40200,40200,14970,1,844.6300965511489,934.4650876303544,973.2805350976545,,
20201029,39500,41650,39500,41400,30018,0,573.9337940912723,918.2728352728321,956.8535676894224,,
20201028,40100,41300,40100,41150,21430,0,506.55700567656055,898.9021081296928,960.2083107326118,,
20201027,39200,42250,38600,40600,45267,-1,500.9990019950169,737.6313442364051,976.9339793455723,,
20201026,43400,43750,39750,40000,58264,1,536.2835071116797,735.3400573884207,993.1137900562925,,
20201023,43700,44450,43300,43350,19464,1,1132.695899171531,1007.5217119248626,953.2149547714689,,
20201022,45000,45400,43550,43550,28426,-1,1452.101924797293,1190.3885920152318,1072.217328716513,,
20201021,45050,45800,44600,45400,15440,0,2003.14752327431,1718.6113580446297,1379.501721637192,,
20201020,44000,45550,43150,45550,39188,10,2003.14752327431,2047.1993063695597,1599.3826934164258,,
20201019,44200,46200,43600,45300,41860,-1,968.8137075826306,2129.2017283479754,1713.0728968727465,,
20201016,46450,46550,44000,44850,43609,-2,728.4229540589746,2049.6402123299604,1773.5627984370856,,
20201015,47650,47650,45150,46550,65986,-2,560.892146495209,2195.8141997901384,1966.6516595472592,,
20201014,50000,50100,47150,47800,95211,3,1054.2295765154774,2345.8953514596524,2264.8730648758205,,
20201013,47900,50600,47750,50000,182446,-46,1860.376306019834,2551.2790909659425,2745.2811786773314,,
20201012,47250,47500,45450,47150,38125,3,1680.6546343612665,1903.6806454865286,2862.7991110100616,,
20201008,48400,48500,47000,47200,45743,3,1197.2468417164453,1719.309454403135,2941.915829863255,,
20201007,46100,48300,46100,47850,86726,15,1041.6333327999844,1491.651769013132,3054.279784171713,,
20201006,46350,46600,44900,46550,54577,11,1197.9148550710952,1424.8157775656493,3043.8246910753596,2951.6572557726863,
20201005,45800,47550,45700,46300,64403,-1002,543.5071296680504,1371.5775588715376,2973.9241752270705,2787.4689833849857,
20200929,43600,46150,43200,45550,74313,-321,784.4743462982094,1343.1678971744395,2802.8601463505124,2659.1167863283717,
20200928,41750,43100,41000,42950,40227,-1,1624.315240339757,1714.1761869772915,2635.5490414712485,2598.6834273446148,
20200925,44900,44950,41400,41500,66687,-3,1996.1462872244615,2340.090810203742,2628.891163589702,2574.045130399491,
20200924,45000,45700,43550,43900,73105,-203,1734.7622315464453,2379.7531384578538,2494.6392524772027,2557.7240045269414,
20200923,45500,46800,44400,46000,54506,-431,1659.0961394687176,1954.2837562646848,2276.186503782153,2457.310380386564,
20200922,46100,47200,44400,45150,66168,-894,1589.6540504147445,1875.4266181325268,1917.7770334426325,2475.822534476618,
20200921,47000,48900,46200,46600,84190,-4,1808.7564789103044,1822.3679650388958,1855.000000000007,2500.8726254827307,
20200918,47150,47800,45100,46750,74026,3,1052.900755057191,1689.5635531106861,1792.268116103176,2525.569242764885,
20200917,49000,49800,47400,47400,81885,1,759.3418202627872,1778.1732199085684,1814.7244969967285,2568.7004928995157,
20200916,49300,51400,49000,49650,117819,-3,1467.4467622370505,2214.096881349144,1971.9913792915097,2666.2628600512885,
20200915,51000,51000,48450,48650,74013,-3,1170.2136557056592,2402.1292637991,2025.7267214508558,2725.442879403065,
20200914,51800,52000,50500,50500,66960,-4,1383.979768638257,2552.234315261827,2175.833173752077,2843.889526491644,
20200911,49500,51700,48500,51400,177163,996,1397.3546436034064,2284.0753052384252,2403.917375867989,2989.954942061089,
20200910,48000,49000,46950,49000,80829,-4,1002.6963648084115,1945.224922727448,2439.2865247854834,3041.2318182312556,
20200909,46200,48800,45700,47850,98393,-1,1288.642696793802,1819.6771691704016,2350.579715729726,3066.3002498486976,
20200908,46950,48300,45800,46950,79024,-13,1639.329131077711,1571.822190961817,2349.898933996958,3073.734043833686,
20200907,47200,49000,46900,47200,111609,-17,1623.1450951778781,1509.3127575158192,2349.898933996958,3074.714417632955,
20200904,43450,46900,43000,46400,116096,-5,891.4033879226638,1553.7052487521582,2341.3604485426927,3073.19719058543,
20200903,46150,46750,44950,45700,128645,-3,728.4229540589746,1745.8808664969113,2353.4230388946303,3058.7183000218965,
20200902,46150,47600,45600,47050,95122,3,550.8175741568192,1723.397806659857,2351.6098209524553,3055.9077574793014,
20200901,47800,48000,45650,46700,94486,-26,533.2916650389382,1756.737032113801,2334.154022338723,3050.312370160719,
20200831,50000,50200,46650,47400,246673,-85,581.3776741499479,1524.3113199081106,2155.624909394035,3057.808310974809,
20200828,52900,54200,51400,51400,118426,-2,1959.081417399492,1524.3113199081106,1941.7952389477236,3167.544943994033,
20200827,52100,53400,49950,52900,203623,-698,2552.724035221983,2193.5644508425107,2074.564713379665,3309.474928981256,
20200826,49900,54800,48700,52100,616209,644,2544.7986167867984,2519.5436094658107,2198.0602243796816,3411.053417445496,
20200825,47250,47950,43500,47950,233885,-16,2241.8742159184585,2480.34271825488,2076.383574872441,3414.5688681816746,
20200824,47100,48500,46350,48050,177987,-42,2080.0480763674677,2449.3927818951383,2034.4532435030446,3429.408253944425,
20200821,46500,48700,45350,46350,319691,10,2559.0232511643976,2453.854111392934,2053.923075482638,3394.182523082682,
20200820,45750,47850,43350,45200,258569,957,2338.931379925457,2515.929251787499,2167.2794005388546,3354.1615941990513,
20200819,45050,46550,43200,45350,276229,868,1225.3978945632325,2662.0293011159747,2246.4360663059283,3295.2086428631374,
20200818,41950,47500,40850,43200,467303,-86,1583.856054065521,3055.634140403593,2492.9538202702533,3236.207807329767,
20200814,39500,42300,38800,41150,173341,24,1856.609813611897,3686.4651090170387,2822.5476081015972,3223.0937518684204,
20200813,40350,40400,39500,39500,36223,-1,2280.482405106429,4090.4309063960495,3163.9532234216167,3263.4656936044616,
